Facet,GCN,H (DFT),CO2 (DFT),COOH (DFT),deltaH (DFT),,deltaH (GCN),Error,,,deltaH (Reduced ML),Error,
111,7.5,-2.726371,-0.253019,-2.635298,-0.344092,,-0.43285,-0.088758,0.088758,,-0.280868,0.063224,0.063224
100,6.67,-2.777685,-0.277038,-2.761332,-0.293391,,-0.386619,-0.093228,0.093228,,-0.288778,0.004613,0.004613
110,5.83,-2.808044,-0.220719,-2.84136,-0.187403,,-0.339831,-0.152428,0.152428,,-0.200852,-0.013449,0.013449
211,5.5,-2.764332,-0.172185,-2.705703,-0.230814,,-0.32145,-0.090636,0.090636,,-0.242208,-0.011394,0.011394
221,5.5,-2.752756,-0.267243,-2.72061,-0.299389,,-0.32145,-0.022061,0.022061,,-0.242208,0.057181,0.057181
322,5.5,-2.733469,-0.204304,-2.7032,-0.234573,,-0.32145,-0.086877,0.086877,,-0.242208,-0.007635,0.007635
1AD_111,2.5,-2.447548,-0.111448,-2.752722,0.193726,,-0.15435,-0.348076,0.348076,,0.171529,-0.022197,0.022197
1AD_100,3,-2.54818,-0.123021,-2.526069,-0.145132,,-0.1822,-0.037068,0.037068,,-0.28242,-0.137288,0.137288
2AD_111,2.92,-2.73208,-0.217171,-2.671716,-0.277535,,-0.177744,0.099791,0.099791,,-0.208956,0.068579,0.068579
3AD_111,3.5,-2.809034,-0.22055,-2.858218,-0.171366,,-0.21005,-0.038684,0.038684,,-0.185667,-0.014301,0.014301
4AD_100,4.42,-2.694855,-0.234017,-2.730341,-0.198531,,-0.261294,-0.062763,0.062763,,-0.206003,-0.007472,0.007472
